time,temperature_2m,relativehumidity_2m,precipitation
2023-01-01 00:00:00,10.1,79,0.0
2023-01-01 01:00:00,9.9,80,0.0
2023-01-01 02:00:00,9.9,77,0.0
2023-01-01 03:00:00,9.9,77,0.0
2023-01-01 04:00:00,10.2,73,0.0
2023-01-01 05:00:00,10.8,73,0.0
2023-01-01 06:00:00,11.5,74,0.0
2023-01-01 07:00:00,11.5,79,0.0
2023-01-01 08:00:00,11.5,80,0.1
2023-01-01 09:00:00,11.0,82,0.1
2023-01-01 10:00:00,10.7,85,0.0
2023-01-01 11:00:00,10.4,86,0.1
2023-01-01 12:00:00,10.1,87,0.3
2023-01-01 13:00:00,9.8,91,0.8
2023-01-01 14:00:00,9.6,90,0.7
2023-01-01 15:00:00,9.1,90,0.2
2023-01-01 16:00:00,9.0,91,0.2
2023-01-01 17:00:00,8.7,92,0.6
2023-01-01 18:00:00,8.6,93,0.4
2023-01-01 19:00:00,8.0,92,0.1
2023-01-01 20:00:00,7.6,92,0.1
2023-01-01 21:00:00,6.8,92,0.0
2023-01-01 22:00:00,6.8,91,0.0
2023-01-01 23:00:00,7.5,91,0.0
2023-01-02 00:00:00,7.4,91,0.0
2023-01-02 01:00:00,7.2,93,0.0
2023-01-02 02:00:00,6.9,94,0.0
2023-01-02 03:00:00,6.2,95,0.0
2023-01-02 04:00:00,6.6,95,0.0
2023-01-02 05:00:00,7.5,90,0.0
2023-01-02 06:00:00,7.8,87,0.0
2023-01-02 07:00:00,8.2,83,0.0
2023-01-02 08:00:00,8.4,79,0.0
2023-01-02 09:00:00,8.1,77,0.0
2023-01-02 10:00:00,7.3,83,0.0
2023-01-02 11:00:00,4.2,93,0.0
2023-01-02 12:00:00,3.2,93,0.0
2023-01-02 13:00:00,2.3,94,0.0
2023-01-02 14:00:00,1.7,94,0.0
2023-01-02 15:00:00,1.3,94,0.0
2023-01-02 16:00:00,1.4,93,0.0
2023-01-02 17:00:00,1.0,94,0.0
2023-01-02 18:00:00,1.3,93,0.0
2023-01-02 19:00:00,2.2,93,0.0
2023-01-02 20:00:00,3.3,92,0.0
2023-01-02 21:00:00,3.3,94,0.0
2023-01-02 22:00:00,3.9,96,0.0
2023-01-02 23:00:00,4.5,97,0.0
