time,temperature_2m,relativehumidity_2m,precipitation
2023-01-01 00:00:00,3.9,95,0.5
2023-01-01 01:00:00,3.5,98,0.0
2023-01-01 02:00:00,2.8,98,0.0
2023-01-01 03:00:00,2.6,98,0.0
2023-01-01 04:00:00,4.7,97,0.0
2023-01-01 05:00:00,5.0,97,0.1
2023-01-01 06:00:00,5.0,97,0.0
2023-01-01 07:00:00,5.0,97,0.0
2023-01-01 08:00:00,4.2,97,0.0
2023-01-01 09:00:00,5.4,94,0.0
2023-01-01 10:00:00,5.9,94,0.0
2023-01-01 11:00:00,6.3,92,0.0
2023-01-01 12:00:00,6.9,90,0.0
2023-01-01 13:00:00,7.2,86,0.0
2023-01-01 14:00:00,7.3,84,0.0
2023-01-01 15:00:00,7.1,82,0.0
2023-01-01 16:00:00,5.7,91,0.0
2023-01-01 17:00:00,6.4,86,0.0
2023-01-01 18:00:00,4.3,91,0.0
2023-01-01 19:00:00,5.8,86,0.0
2023-01-01 20:00:00,2.7,94,0.0
2023-01-01 21:00:00,1.8,97,0.0
2023-01-01 22:00:00,1.6,98,0.0
2023-01-01 23:00:00,1.5,96,0.0
2023-01-02 00:00:00,1.2,92,0.0
2023-01-02 01:00:00,0.5,90,0.0
2023-01-02 02:00:00,0.1,90,0.0
2023-01-02 03:00:00,0.4,84,0.0
2023-01-02 04:00:00,0.8,85,0.0
2023-01-02 05:00:00,0.4,89,0.0
2023-01-02 06:00:00,0.2,85,0.0
2023-01-02 07:00:00,2.2,72,0.0
2023-01-02 08:00:00,2.5,69,0.0
2023-01-02 09:00:00,2.8,69,0.0
2023-01-02 10:00:00,4.3,66,0.0
2023-01-02 11:00:00,5.4,60,0.0
2023-01-02 12:00:00,6.2,61,0.0
2023-01-02 13:00:00,6.7,61,0.0
2023-01-02 14:00:00,6.7,59,0.0
2023-01-02 15:00:00,6.3,63,0.0
2023-01-02 16:00:00,5.9,58,0.0
2023-01-02 17:00:00,4.5,55,0.0
2023-01-02 18:00:00,3.0,61,0.0
2023-01-02 19:00:00,1.8,66,0.0
2023-01-02 20:00:00,1.4,68,0.0
2023-01-02 21:00:00,2.1,65,0.0
2023-01-02 22:00:00,2.8,61,0.0
2023-01-02 23:00:00,3.5,59,0.0
2023-01-03 00:00:00,3.6,63,0.0
2023-01-03 01:00:00,3.7,65,0.0
2023-01-03 02:00:00,3.2,76,0.1
2023-01-03 03:00:00,3.5,72,0.1
2023-01-03 04:00:00,2.7,79,0.1
2023-01-03 05:00:00,2.9,79,0.0
2023-01-03 06:00:00,3.2,76,0.0
2023-01-03 07:00:00,3.9,76,0.0
2023-01-03 08:00:00,4.1,78,0.0
2023-01-03 09:00:00,4.3,80,0.0
2023-01-03 10:00:00,5.0,79,0.0
2023-01-03 11:00:00,5.5,77,0.0
2023-01-03 12:00:00,6.3,76,0.0
2023-01-03 13:00:00,7.3,70,0.0
2023-01-03 14:00:00,7.8,67,0.0
2023-01-03 15:00:00,7.7,73,0.0
2023-01-03 16:00:00,5.9,87,0.0
2023-01-03 17:00:00,3.7,89,0.0
2023-01-03 18:00:00,4.8,82,0.0
2023-01-03 19:00:00,2.9,73,0.0
2023-01-03 20:00:00,1.7,74,0.0
2023-01-03 21:00:00,0.9,76,0.0
2023-01-03 22:00:00,1.6,74,0.0
2023-01-03 23:00:00,3.7,67,0.0
2023-01-04 00:00:00,3.1,69,0.0
